,SDATE,HOLIDAY,CELEBRATION,STOREID,PRODUCTID,LOW_TEMP,HIGH_TEMP,SKY,ENTRY,EXIT,ONSALE,COVID19,TARGET
0,2020/10/01,Y,中秋節,12,744524,22℃,27℃,多云~晴,1527,1907,Y,0,18.397
1,2020/10/02,N,0,12,744524,23℃,28℃,晴,2407,2071,Y,0,16.624
2,2020/10/03,Y,週六,12,744524,23℃,29℃,晴~多云,780,648,Y,0,29.172
3,2020/10/04,Y,週日,12,744524,24℃,29℃,多云~小雨,2506,1347,Y,0,17.047
4,2020/10/05,N,0,12,744524,23℃,26℃,阴~小雨,1241,1545,Y,0,6.594
5,2020/10/06,N,0,12,744524,22℃,25℃,阴,1398,820,Y,0,14.586
6,2020/10/07,N,0,12,744524,21℃,25℃,阴~小雨,2068,1507,Y,0,17.552
7,2020/10/08,N,0,12,744524,22℃,25℃,阴~小雨,1691,1531,Y,0,16.636
8,2020/10/09,Y,國慶日/雙十節彈性放假 補假,12,744524,22℃,26℃,阴~小雨,2281,2125,Y,0,21.433
9,2020/10/10,Y,國慶日/雙十節彈性放假,12,744524,23℃,25℃,阴~小雨,989,625,Y,0,23.68
10,2020/10/11,Y,週日,12,744524,24℃,28℃,阴~小雨,2396,1332,Y,0,22.51
11,2020/10/12,N,0,12,744524,24℃,27℃,阴~小雨,1347,1185,Y,0,15.056
12,2020/10/13,N,0,12,744524,23℃,27℃,阴~小雨,1362,799,Y,0,12.241
13,2020/10/14,N,0,12,744524,23℃,27℃,多云~小雨,2858,1754,Y,0,13.182
14,2020/10/15,N,0,12,744524,23℃,26℃,阴~小雨,1165,1214,Y,0,8.915
15,2020/10/16,N,0,12,744524,22℃,26℃,阴~中雨,1735,1560,Y,0,9.883
16,2020/10/17,Y,週六,12,744524,22℃,24℃,阴~小雨,726,443,Y,0,29.289
17,2020/10/18,Y,週日,12,744524,22℃,24℃,阴~小雨,2167,1453,Y,0,20.258
18,2020/10/19,N,0,12,744524,22℃,24℃,阴~小雨,1007,1676,Y,0,15.012
19,2020/10/20,N,0,12,744524,24℃,24℃,阴~小雨,1165,967,Y,0,8.189
20,2020/10/21,N,0,12,744524,23℃,26℃,阴~中雨,1955,2028,Y,0,13.863
21,2020/10/22,N,0,12,744524,19℃,24℃,阴~小雨,1217,2911,Y,0,10.923
22,2020/10/23,N,0,12,744524,20℃,23℃,阴~多云,1771,1647,Y,0,9.207
23,2020/10/24,Y,週六,12,744524,21℃,22℃,阴~多云,585,1206,Y,0,33.567
24,2020/10/25,Y,重陽節,12,744524,22℃,25℃,阴~多云,2517,2401,Y,0,23.659
25,2020/10/26,N,0,12,744524,22℃,26℃,多云~小雨,832,863,Y,0,14.648
26,2020/10/27,N,0,12,744524,22℃,27℃,多云,874,682,Y,0,17.754
27,2020/10/28,N,0,12,744524,22℃,27℃,阴~小雨,1567,1742,Y,0,8.222
28,2020/10/29,N,0,12,744524,24°C,21℃,小雨,1262,1787,Y,0,11.117
29,2020/10/30,N,0,12,744524,23°C,19℃,阴转多云,2074,1851,Y,0,11.89
30,2020/10/31,Y,週六,12,744524,24°C,19℃,多云转晴,783,1061,Y,0,24.198
31,2020/11/01,Y,週日,12,744524,21℃,26℃,阴~晴,2055,1483,Y,0,16.066
32,2020/11/02,N,0,12,744524,19℃,25℃,阴~小雨,916,1420,Y,0,17.52
33,2020/11/03,N,0,12,744524,19℃,22℃,阴~小雨,1112,767,Y,0,15.604
34,2020/11/04,N,0,12,744524,19℃,21℃,多云~小雨,1589,1569,Y,0,12.078
35,2020/11/05,N,0,12,744524,23℃,24℃,阴~小雨,1352,1511,Y,0,9.144
36,2020/11/06,N,0,12,744524,23℃,28℃,阴~多云,1940,1846,Y,0,12.956
37,2020/11/07,Y,週六,12,744524,20℃,26℃,阴~中雨,586,707,Y,0,24.059
38,2020/11/08,Y,週日,12,744524,20℃,23℃,阴~小雨,2033,1410,Y,0,28.54
39,2020/11/09,N,0,12,744524,19℃,22℃,阴~小雨,841,1013,Y,0,5.505
40,2020/11/10,N,0,12,744524,19℃,21℃,阴~小雨,921,994,Y,0,14.453
41,2020/11/11,N,0,12,744524,20℃,23℃,阴~小雨,1751,1622,Y,0,10.159
42,2020/11/12,N,0,12,744524,21℃,24℃,阴~小雨,1153,1347,Y,0,10.357
43,2020/11/13,N,0,12,744524,21℃,23℃,阴~中雨,2274,1730,Y,0,9.458
44,2020/11/14,Y,週六,12,744524,21℃,22℃,阴~多云,731,712,Y,0,14.606
45,2020/11/15,Y,週日,12,744524,21℃,26℃,多云,2455,1447,Y,0,13.896
46,2020/11/16,N,0,12,744524,22℃,26℃,多云~小雨,1165,1233,Y,0,11.43
47,2020/11/17,N,0,12,744524,22℃,25℃,多云~晴,1032,741,Y,0,10.236
48,2020/11/18,N,0,12,744524,21℃,27℃,晴,1901,1882,Y,0,3.68
49,2020/11/19,N,0,12,744524,22℃,27℃,多云~晴,1429,1306,Y,0,12.142
50,2020/11/20,N,0,12,744524,22℃,25℃,阴~小雨,1981,1521,Y,0,8.32
51,2020/11/21,Y,週六,12,744524,22℃,25℃,阴~晴,884,652,Y,0,14.437
52,2020/11/22,Y,週日,12,744524,21℃,26℃,晴~小雨,2494,1432,Y,0,16.638
53,2020/11/23,N,0,12,744524,21℃,22℃,阴~小雨,980,847,Y,0,9.838
54,2020/11/24,N,0,12,744524,21℃,22℃,阴~小雨,1318,764,Y,0,15.011
55,2020/11/25,N,0,12,744524,21℃,25℃,阴~小雨,1671,1646,Y,0,8.047
56,2020/11/26,N,0,12,744524,19℃,25℃,多云~小雨,1175,1185,Y,0,11.277
57,2020/11/27,N,0,12,744524,18℃,21℃,阴~小雨,2414,1508,Y,0,9.23
58,2020/11/28,Y,週六,12,744524,18℃,20℃,阴~小雨,964,835,Y,0,19.541
59,2020/11/29,Y,週日,12,744524,18℃,20℃,小雨,2615,1766,Y,0,23.582
60,2020/11/30,N,0,12,744524,20°C,18℃,小雨,1163,1272,Y,0,11.66
61,2020/12/01,N,0,12,744524,18℃,20℃,阴~小雨,1049,684,Y,0,11.469
62,2020/12/02,N,0,12,744524,16℃,20℃,阴~小雨,1787,2018,Y,0,5.923
63,2020/12/03,N,0,12,744524,16℃,19℃,阴~小雨,1332,1292,Y,0,5.847
64,2020/12/04,N,0,12,744524,17℃,19℃,阴~小雨,2179,1520,Y,0,10.107
65,2020/12/05,Y,週六,12,744524,18℃,18℃,阴~小雨,914,748,Y,0,18.874
