,Year,Month,Day,Week,Holiday,Celebration,LOWTEMP,HIGHTEMP,SKY,STOREID,PRODUCTID,ENTRY,COVID19,TARGET
0,2019,01,01,2,1,6,8,8,18,12,141691,74918,0,38.338
1,2019,01,02,3,0,0,8,7,18,12,141691,76772,0,23.72
2,2019,01,03,4,0,0,9,9,17,12,141691,80331,0,24.698
3,2019,01,04,5,0,0,11,15,5,12,141691,85491,0,21.669
4,2019,01,05,6,1,36,9,10,36,12,141691,86558,0,40.014
5,2019,01,06,7,1,37,8,8,17,12,141691,82141,0,55.798
6,2019,01,07,1,0,0,11,12,8,12,141691,72579,0,27.598
7,2019,01,08,2,0,0,9,9,17,12,141691,72073,0,22.769
8,2019,01,09,3,0,0,9,10,19,12,141691,75188,0,22.159
9,2019,01,10,4,0,0,13,13,19,12,141691,77255,0,19.055
10,2019,01,11,5,0,0,11,12,5,12,141691,80647,0,14.421
11,2019,01,12,6,1,36,9,7,17,12,141691,81081,0,35.984
12,2019,01,13,7,1,37,7,7,17,12,141691,81925,0,17.803
13,2019,01,14,1,0,0,8,10,5,12,141691,76681,0,21.929
14,2019,01,15,2,0,0,9,12,17,12,141691,88326,0,21.945
15,2019,01,16,3,0,0,8,8,0,12,141691,84688,0,18.623
16,2019,01,17,4,0,0,7,6,17,12,141691,71515,0,38.122
17,2019,01,18,5,0,0,8,9,5,12,141691,63345,0,24.126
18,2019,01,19,6,0,0,11,11,34,12,141691,61449,0,37.002
19,2019,01,20,7,1,37,7,10,17,12,141691,64715,0,42.417
20,2019,01,21,1,0,0,5,6,17,12,141691,55618,0,30.817
21,2019,01,22,2,0,0,4,5,19,12,141691,52024,0,20.083
22,2019,01,23,3,0,0,7,7,5,12,141691,53116,0,12.869
23,2019,01,24,4,0,0,7,8,34,12,141691,58432,0,18.179
24,2019,01,25,5,0,0,4,9,10,12,141691,66644,0,20.162
25,2019,01,26,6,1,36,3,4,17,12,141691,66633,0,43.154
26,2019,01,27,7,1,37,5,6,19,12,141691,67263,0,45.836
27,2019,01,28,1,0,17,8,9,8,12,141691,61978,0,24.889
28,2019,01,29,2,0,19,9,10,9,12,141691,60000,0,33.699
29,2019,01,30,3,0,18,7,11,9,12,141691,62485,0,20.259
30,2019,01,31,4,0,22,4,12,17,12,141691,67061,0,28.449
31,2019,02,01,5,0,20,5,6,22,12,141691,73751,0,29.758
32,2019,02,02,6,1,21,9,12,5,12,141691,74935,0,62.188
33,2019,02,03,7,1,23,9,14,8,12,141691,76958,0,61.788
34,2019,02,04,1,1,13,9,9,17,12,141691,73600,0,23.058
35,2019,02,05,2,1,16,8,11,19,12,141691,73706,0,10.016
36,2019,02,06,3,1,32,9,13,5,12,141691,75224,0,17.39
37,2019,02,07,4,1,31,9,14,8,12,141691,81982,0,19.523
38,2019,02,08,5,1,34,9,9,22,12,141691,86910,0,25.98
39,2019,02,09,6,1,33,8,7,17,12,141691,88069,0,41.58
40,2019,02,10,7,1,32,9,9,17,12,141691,89765,0,62.812
41,2019,02,11,1,0,0,8,8,17,12,141691,51603,0,34.112
42,2019,02,12,2,0,0,9,12,10,12,141691,33371,0,24.274
43,2019,02,13,3,0,0,11,9,22,12,141691,49019,0,14.897
44,2019,02,14,4,0,0,11,10,22,12,141691,54794,0,23.704
45,2019,02,15,5,0,0,9,11,17,12,141691,57607,0,10.984
46,2019,02,16,6,1,36,8,8,17,12,141691,61680,0,19.981
47,2019,02,17,7,1,37,8,9,17,12,141691,53848,0,39.872
48,2019,02,18,1,0,0,11,12,22,12,141691,46693,0,14.356
49,2019,02,19,2,0,7,11,12,5,12,141691,33226,0,18.963
50,2019,02,20,3,0,0,11,13,8,12,141691,52944,0,19.845
51,2019,02,21,4,0,0,9,9,17,12,141691,62825,0,13.102
52,2019,02,22,5,0,0,4,7,17,12,141691,65302,0,15.837
53,2019,02,23,6,0,0,4,4,18,12,141691,70167,0,36.489
54,2019,02,24,7,1,37,4,5,3,12,141691,72154,0,51.117
55,2019,02,25,1,0,0,7,7,17,12,141691,65032,0,19.924
56,2019,02,26,2,0,0,8,8,34,12,141691,58642,0,31.039
57,2019,02,27,3,0,0,9,11,10,12,141691,51689,0,18.126
58,2019,02,28,4,1,2,7,8,22,12,141691,38813,0,26.288
59,2019,03,01,5,1,1,8,9,36,12,141691,52483,0,25.24
60,2019,03,02,6,1,36,11,12,8,12,141691,52992,0,28.53
61,2019,03,03,7,1,37,5,9,4,12,141691,50944,0,45.107
62,2019,03,04,1,0,0,5,11,36,12,141691,46946,0,26.165
63,2019,03,05,2,0,0,8,11,36,12,141691,53686,0,16.378
64,2019,03,06,3,0,0,5,8,18,12,141691,62789,0,29.913
65,2019,03,07,4,0,0,3,4,0,12,141691,61423,0,22.629
66,2019,03,08,5,0,14,4,6,2,12,141691,76363,0,35.176
67,2019,03,09,6,1,36,8,9,14,12,141691,70643,0,51.543
68,2019,03,10,7,1,37,5,6,19,12,141691,66910,0,43.402
69,2019,03,11,1,0,0,5,7,19,12,141691,61240,0,34.387
70,2019,03,12,2,0,0,9,11,25,12,141691,59404,0,28.516
71,2019,03,13,3,0,0,8,11,19,12,141691,67655,0,20.849
72,2019,03,14,4,0,0,7,11,36,12,141691,72737,0,16.172
73,2019,03,15,5,0,0,7,8,5,12,141691,86394,0,14.026
74,2019,03,16,6,1,36,8,9,34,12,141691,91612,0,33.967
75,2019,03,17,7,1,37,11,11,8,12,141691,101329,0,40.009
76,2019,03,18,1,0,0,9,11,34,12,141691,90794,0,22.001
77,2019,03,19,2,0,0,11,12,34,12,141691,80480,0,24.264
78,2019,03,20,3,0,0,13,15,5,12,141691,73826,0,23.522
79,2019,03,21,4,0,0,13,15,8,12,141691,74616,0,18.954
80,2019,03,22,5,0,0,5,9,17,12,141691,79725,0,19.83
81,2019,03,23,6,1,36,5,6,17,12,141691,75996,0,39.559
82,2019,03,24,7,1,37,8,8,17,12,141691,84587,0,53.035
83,2019,03,25,1,0,0,8,10,19,12,141691,76344,0,23.724
84,2019,03,26,2,0,0,8,11,5,12,141691,72578,0,25.476
85,2019,03,27,3,0,0,11,13,5,12,141691,57981,0,13.314
86,2019,03,28,4,0,0,15,16,34,12,141691,44289,0,17.253
87,2019,03,29,5,0,40,11,12,18,12,141691,57519,0,19.989
88,2019,03,30,6,1,36,11,12,36,12,141691,83335,0,31.726
89,2019,03,31,7,1,37,7,8,17,12,141691,84438,0,35.617
90,2019,04,01,1,0,0,8,9,17,12,141691,80364,0,22.818
