,SDATE,HOLIDAY,CELEBRATION,STOREID,PRODUCTID,LOW_TEMP,HIGH_TEMP,SKY,ENTRY,EXIT,ONSALE,COVID19,TARGET
0,2019/01/01,Y,中華民國開國紀念日/元旦,12,141691,16℃,19℃,小雨~中雨,74918,66923,Y,0,38.338
1,2019/01/02,N,0,12,141691,16℃,18℃,小雨~中雨,76772,66254,Y,0,23.72
2,2019/01/03,N,0,12,141691,17℃,20℃,小雨,80331,67465,Y,0,24.698
3,2019/01/04,N,0,12,141691,18℃,26℃,多云,85491,71544,Y,0,21.669
4,2019/01/05,Y,週六,12,141691,17℃,21℃,阴~小雨,86558,69783,Y,0,40.014
5,2019/01/06,Y,週日,12,141691,16℃,19℃,小雨,82141,72411,Y,0,55.798
6,2019/01/07,N,0,12,141691,18℃,23℃,多云~小雨,72579,66503,Y,0,27.598
7,2019/01/08,N,0,12,141691,17℃,20℃,小雨,72073,70538,Y,0,22.769
8,2019/01/09,N,0,12,141691,17℃,21℃,小雨~多云,75188,78746,Y,0,22.159
9,2019/01/10,N,0,12,141691,19℃,24℃,小雨~多云,77255,82587,Y,0,19.055
10,2019/01/11,N,0,12,141691,18℃,23℃,多云,80647,94375,Y,0,14.421
11,2019/01/12,Y,週六,12,141691,17℃,18℃,小雨,81081,92763,Y,0,35.984
12,2019/01/13,Y,週日,12,141691,15℃,18℃,小雨,81925,86409,Y,0,17.803
13,2019/01/14,N,0,12,141691,16℃,21℃,多云,76681,76057,Y,0,21.929
14,2019/01/15,N,0,12,141691,17℃,23℃,小雨,88326,81198,Y,0,21.945
15,2019/01/16,N,0,12,141691,16℃,19℃,中雨,84688,78996,Y,0,18.623
16,2019/01/17,N,0,12,141691,15℃,17℃,小雨,71515,73338,Y,0,38.122
17,2019/01/18,N,0,12,141691,16℃,20℃,多云,63345,68908,Y,0,24.126
18,2019/01/19,N,0,12,141691,18℃,22℃,阴~多云,61449,69010,Y,0,37.002
19,2019/01/20,Y,週日,12,141691,15℃,21℃,小雨,64715,79466,Y,0,42.417
20,2019/01/21,N,0,12,141691,14℃,17℃,小雨,55618,72005,Y,0,30.817
21,2019/01/22,N,0,12,141691,13℃,16℃,小雨~多云,52024,63731,Y,0,20.083
22,2019/01/23,N,0,12,141691,15℃,18℃,多云,53116,61192,Y,0,12.869
23,2019/01/24,N,0,12,141691,15℃,19℃,阴~多云,58432,64174,Y,0,18.179
24,2019/01/25,N,0,12,141691,13℃,20℃,多云~阴,66644,69788,Y,0,20.162
25,2019/01/26,Y,週六,12,141691,12℃,15℃,小雨,66633,73733,Y,0,43.154
26,2019/01/27,Y,週日,12,141691,14℃,17℃,小雨~多云,67263,80025,Y,0,45.836
27,2019/01/28,N,春節前週一,12,141691,16℃,20℃,多云~小雨,61978,78310,Y,0,24.889
28,2019/01/29,N,春節前週二,12,141691,17℃,21℃,多云~晴,60000,74935,Y,0,33.699
29,2019/01/30,N,春節前週三,12,141691,15℃,22℃,多云~晴,62485,71699,Y,0,20.259
30,2019/01/31,N,春節前週四,12,141691,13℃,23℃,小雨,67061,74886,Y,0,28.449
31,2019/02/01,N,春節前週五,12,141691,14℃,17℃,小雨~阴,73751,84144,Y,0,29.758
32,2019/02/02,Y,春節前週六,12,141691,17℃,23℃,多云,74935,84832,Y,0,62.188
33,2019/02/03,Y,春節前週日,12,141691,17℃,25℃,多云~小雨,76958,90522,Y,0,61.788
34,2019/02/04,Y,夕除,12,141691,17℃,20℃,小雨,73600,81469,Y,0,23.058
35,2019/02/05,Y,春節,12,141691,16℃,22℃,小雨~多云,73706,76445,Y,0,10.016
36,2019/02/06,Y,農曆初二,12,141691,17℃,24℃,多云,75224,75586,Y,0,17.39
37,2019/02/07,Y,農曆初三,12,141691,17℃,25℃,多云~小雨,81982,75327,Y,0,19.523
38,2019/02/08,Y,農曆初四,12,141691,17℃,20℃,小雨~阴,86910,82307,Y,0,25.98
39,2019/02/09,Y,農曆初五,12,141691,16℃,18℃,小雨,88069,80947,Y,0,41.58
40,2019/02/10,Y,農曆初二,12,141691,17℃,20℃,小雨,89765,82609,Y,0,62.812
41,2019/02/11,N,0,12,141691,16℃,19℃,小雨,51603,61931,Y,0,34.112
42,2019/02/12,N,0,12,141691,17℃,23℃,多云~阴,33371,46794,Y,0,24.274
43,2019/02/13,N,0,12,141691,18℃,20℃,小雨~阴,49019,66766,Y,0,14.897
44,2019/02/14,N,0,12,141691,18℃,21℃,小雨~阴,54794,72545,Y,0,23.704
45,2019/02/15,N,0,12,141691,17℃,22℃,小雨,57607,78560,Y,0,10.984
46,2019/02/16,Y,週六,12,141691,16℃,19℃,小雨,61680,81877,Y,0,19.981
47,2019/02/17,Y,週日,12,141691,16℃,20℃,小雨,53848,73446,Y,0,39.872
48,2019/02/18,N,0,12,141691,18℃,23℃,小雨~阴,46693,57896,Y,0,14.356
49,2019/02/19,N,元宵節,12,141691,18℃,23℃,多云,33226,62139,Y,0,18.963
50,2019/02/20,N,0,12,141691,18℃,24℃,多云~小雨,52944,70562,Y,0,19.845
51,2019/02/21,N,0,12,141691,17℃,20℃,小雨,62825,74913,Y,0,13.102
52,2019/02/22,N,0,12,141691,13℃,18℃,小雨,65302,72285,Y,0,15.837
53,2019/02/23,N,0,12,141691,13℃,15℃,小雨~中雨,70167,75616,Y,0,36.489
54,2019/02/24,Y,週日,12,141691,13℃,16℃,中雨~小雨,72154,76538,Y,0,51.117
55,2019/02/25,N,0,12,141691,15℃,18℃,小雨,65032,72578,Y,0,19.924
56,2019/02/26,N,0,12,141691,16℃,19℃,阴~多云,58642,66190,Y,0,31.039
57,2019/02/27,N,0,12,141691,17℃,22℃,多云~阴,51689,63972,Y,0,18.126
58,2019/02/28,Y,228連假,12,141691,15℃,19℃,小雨~阴,38813,52154,Y,0,26.288
59,2019/03/01,Y,228彈性放假,12,141691,16℃,20℃,阴~小雨,52483,66296,Y,0,25.24
60,2019/03/02,Y,週六,12,141691,18℃,23℃,多云~小雨,52992,63126,Y,0,28.53
61,2019/03/03,Y,週日,12,141691,14℃,20℃,中雨~阴,50944,71124,Y,0,45.107
62,2019/03/04,N,0,12,141691,14℃,22℃,阴~小雨,46946,70288,Y,0,26.165
63,2019/03/05,N,0,12,141691,16℃,22℃,阴~小雨,53686,69717,Y,0,16.378
